,Sno,MovieName,Director1,Director2,Director3,Duration,Year,Ratings,Metascore
437,438,Prey,Dan Trachtenberg,,,100,2022,7.1,71
438,439,Man of Steel,Zack Snyder,,,143,2013,7.1,55
439,440,Iron Man 3,Shane Black,,,130,2013,7.1,62
440,441,Shooter,Antoine Fuqua,,,124,2007,7.1,53
441,442,Pirates of the Caribbean: At World's End,Gore Verbinski,,,169,2007,7.1,50
442,443,Blade,Stephen Norrington,,,120,1998,7.1,47
443,444,Batman Returns,Tim Burton,,,126,1992,7.1,68
444,445,Snowpiercer,Bong Joon Ho,,,126,2013,7.1,84
445,446,DC League of Super-Pets,Jared Stern,Sam J. Levine,,105,2022,7.1,56
446,447,American Made,Doug Liman,,,115,2017,7.1,65
447,448,"I, Robot",Alex Proyas,,,115,2004,7.1,59
448,449,WarGames,John Badham,,,114,1983,7.1,77
449,450,We Were Soldiers,Randall Wallace,,,138,2002,7.1,65
450,451,Creed II,Steven Caple Jr.,,,130,2018,7.1,66
451,452,Desperado,Robert Rodriguez,,,104,1995,7.1,55
452,453,Deepwater Horizon,Peter Berg,,,107,2016,7.1,68
453,454,Live Free or Die Hard,Len Wiseman,,,128,2007,7.1,69
454,455,Flags of Our Fathers,Clint Eastwood,,,135,2006,7.1,79
455,456,The Poseidon Adventure,Ronald Neame,,,117,1972,7.1,70
456,457,Escape from New York,John Carpenter,,,99,1981,7.1,76
457,458,Real Steel,Shawn Levy,,,127,2011,7.1,56
458,459,Planet Terror,Robert Rodriguez,,,105,2007,7.1,
459,460,Kung Fu Panda 3,Alessandro Carloni,Jennifer Yuh Nelson,,95,2016,7.1,66
460,461,Allied,Robert Zemeckis,,,124,2016,7.1,60
461,462,No Way Out,Roger Donaldson,,,114,1987,7.1,77
462,463,Rocky Balboa,Sylvester Stallone,,,102,2006,7.1,63
463,464,Deja Vu,Tony Scott,,,126,2006,7.1,59
464,465,Casualties of War,Brian De Palma,,,113,1989,7.1,75
465,466,Three Kings,David O. Russell,,,114,1999,7.1,82
466,467,Die Hard 2,Renny Harlin,,,124,1990,7.1,67
467,468,Defiance,Edward Zwick,,,137,2008,7.1,58
468,469,Brawl in Cell Block 99,S. Craig Zahler,,,132,2017,7.1,79
469,470,Payback,Brian Helgeland,,,100,1999,7.1,46
470,471,Enthiran,S. Shankar,,,174,2010,7.1,
471,472,Ong-Bak: The Thai Warrior,Prachya Pinkaew,,,105,2003,7.1,69
472,473,Megan Leavey,Gabriela Cowperthwaite,,,116,2017,7.1,66
473,474,Kon-Tiki,Joachim Rønning,Espen Sandberg,,118,2012,7.1,62
474,475,The Girl Who Played with Fire,Daniel Alfredson,,,129,2009,7.1,66
475,476,Mosul,Matthew Michael Carnahan,,,101,2019,7.1,71
476,477,District B13,Pierre Morel,,,84,2004,7.1,70
477,478,God Bless America,Bobcat Goldthwait,,,105,2011,7.1,56
478,479,In Order of Disappearance,Hans Petter Moland,,,116,2014,7.1,74
479,480,JCVD,Mabrouk El Mechri,,,97,2008,7.1,64
480,481,Kaabil,Sanjay Gupta,,,139,2017,7.1,
481,482,Dragon Ball Z: Battle of Gods,Masahiro Hosoda,,,85,2013,7.1,
