,Sno,MovieName,Director1,Director2,Director3,Duration,Genre1,Genre2,Genre3,Ratings
1485,"1,486",Pacific Rim: Uprising,Steven S. DeKnight,,,111,Action,Adventure,Fantasy,5.6
1486,"1,487",The Specialist,Luis Llosa,,,110,Action,Drama,Thriller,5.6
1487,"1,488",R.I.P.D.,Robert Schwentke,,,96,Action,Adventure,Comedy,5.6
1488,"1,489",Johnny Mnemonic,Robert Longo,,,96,Action,Drama,Sci-Fi,5.6
1489,"1,490",Wild Card,Simon West,,,92,Action,Crime,Drama,5.6
1490,"1,491",Machete Kills,Robert Rodriguez,,,107,Action,Crime,Thriller,5.6
1491,"1,492",Jay and Silent Bob Reboot,Kevin Smith,,,105,Action,Adventure,Comedy,5.6
1492,"1,493",Timeline,Richard Donner,,,116,Action,Adventure,Sci-Fi,5.6
1493,"1,494",Jolt,Tanya Wexler,,,91,Action,Comedy,Crime,5.6
1494,"1,495",The Ice Road,Jonathan Hensleigh,,,109,Action,Adventure,Thriller,5.6
1495,"1,496",Brahmastra Part One: Shiva,Ayan Mukerji,,,167,Action,Adventure,Fantasy,5.6
1496,"1,497",Raw Deal,John Irvin,,,106,Action,Crime,Thriller,5.6
1497,"1,498",Double Impact,Sheldon Lettich,,,110,Action,Crime,,5.6
1498,"1,499",Hold the Dark,Jeremy Saulnier,,,125,Action,Crime,Drama,5.6
1499,"1,500",Chain Reaction,Andrew Davis,,,107,Action,Drama,Sci-Fi,5.6
1500,"1,501",National Security,Dennis Dugan,,,88,Action,Comedy,Crime,5.6
1501,"1,502",MacGruber,Jorma Taccone,,,90,Action,Comedy,,5.6
1502,"1,503",Brick Mansions,Camille Delamarre,,,90,Action,Crime,Thriller,5.6
1503,"1,504",The Skulls,Rob Cohen,,,106,Action,Crime,Drama,5.6
1504,"1,505",The Pink Panther 2,Harald Zwart,,,92,Action,Adventure,Comedy,5.6
1505,"1,506",The Contract,Bruce Beresford,,,96,Action,Crime,Drama,5.6
1506,"1,507",Survivor,James McTeigue,,,96,Action,Crime,Thriller,5.6
1507,"1,508",The Quest,Jean-Claude Van Damme,,,95,Action,Adventure,Drama,5.6
1508,"1,509",Exit Wounds,Andrzej Bartkowiak,,,101,Action,Crime,Thriller,5.6
1509,"1,510",Fire with Fire,David Barrett,,,97,Action,Thriller,,5.6
