,MovieName,Star1,Star2,Star3,Votes,Genre1,Genre2,Genre3,GrossCollection,Popularity,Certification
863,Olympus Has Fallen,Gerard Butler,Aaron Eckhart,Morgan Freeman,283746,Action,Thriller,,98.93M,"2,177",R
864,Rambo: First Blood Part II,Sylvester Stallone,Richard Crenna,Charles Napier,175438,Action,Adventure,Thriller,150.42M,"2,236",R
865,The Rocketeer,Billy Campbell,Jennifer Connelly,Alan Arkin,59778,Action,Adventure,Family,46.70M,"2,286",PG
866,Tomorrow Never Dies,Pierce Brosnan,Jonathan Pryce,Michelle Yeoh,199404,Action,Adventure,Thriller,125.33M,"2,316",PG-13
867,Kick-Ass 2,Aaron Taylor-Johnson,Chloë Grace Moretz,Christopher Mintz-Plasse,280021,Action,Comedy,Crime,28.80M,"2,336",R
868,The Perfect Storm,George Clooney,Mark Wahlberg,John C. Reilly,172568,Action,Adventure,Drama,182.62M,"2,484",PG-13
869,The Mechanic,Jason Statham,Ben Foster,Donald Sutherland,165394,Action,Crime,Thriller,29.12M,"2,515",R
870,Bad Boys for Life,Will Smith,Martin Lawrence,Vanessa Hudgens,167087,Action,Comedy,Crime,206.31M,"2,595",R
871,The Interview,James Franco,Seth Rogen,Randall Park,341697,Action,Adventure,Comedy,6.11M,"2,813",R
872,Swordfish,John Travolta,Hugh Jackman,Halle Berry,191839,Action,Crime,Thriller,69.77M,"2,871",R
873,The Man in the Iron Mask,Leonardo DiCaprio,Jeremy Irons,John Malkovich,172713,Action,Adventure,Drama,56.97M,"2,944",PG-13
874,The Spiderwick Chronicles,Freddie Highmore,Sarah Bolger,David Strathairn,99259,Action,Adventure,Drama,71.20M,"3,013",PG
875,Nerve,Emma Roberts,Dave Franco,Emily Meade,135516,Action,Adventure,Crime,38.58M,"3,118",PG-13
876,Diamonds Are Forever,Sean Connery,Jill St. John,Charles Gray,110153,Action,Adventure,Thriller,43.82M,"3,282",PG
877,Air Force One,Harrison Ford,Gary Oldman,Glenn Close,202754,Action,Drama,Thriller,172.96M,"3,316",R
878,Never Back Down,Sean Faris,Djimon Hounsou,Amber Heard,103946,Action,Drama,Sport,24.85M,"3,318",PG-13
879,Get Smart,Steve Carell,Anne Hathaway,Alan Arkin,222760,Action,Adventure,Comedy,130.32M,"3,398",PG-13
880,Octopussy,Roger Moore,Maud Adams,Louis Jourdan,109314,Action,Adventure,Thriller,67.90M,"3,438",PG
881,Beverly Hills Cop II,Eddie Murphy,Judge Reinhold,Jürgen Prochnow,124609,Action,Comedy,Crime,153.67M,"3,572",R
882,The Forbidden Kingdom,Jackie Chan,Jet Li,Michael Angarano,107627,Action,Adventure,Fantasy,52.08M,"3,599",PG-13
883,U.S. Marshals,Tommy Lee Jones,Wesley Snipes,Robert Downey Jr.,109530,Action,Crime,Thriller,57.17M,"3,745",PG-13
884,Peppermint,Jennifer Garner,John Gallagher Jr.,John Ortiz,67504,Action,Thriller,,35.42M,"3,824",R
885,Safe,Jason Statham,Catherine Chan,Chris Sarandon,113591,Action,Crime,Thriller,17.14M,"3,964",R
886,National Treasure: Book of Secrets,Nicolas Cage,Diane Kruger,Justin Bartha,245471,Action,Adventure,Mystery,219.96M,"4,088",PG
887,Young Guns II,Emilio Estevez,Kiefer Sutherland,Lou Diamond Phillips,37673,Action,Drama,Western,44.14M,"4,142",PG-13
888,A Walk Among the Tombstones,Liam Neeson,Dan Stevens,David Harbour,124454,Action,Crime,Drama,26.31M,"4,289",R
889,Space Cowboys,Clint Eastwood,Tommy Lee Jones,Donald Sutherland,83774,Action,Adventure,Thriller,90.46M,"4,535",PG-13
890,Underworld: Rise of the Lycans,Rhona Mitra,Michael Sheen,Bill Nighy,163931,Action,Fantasy,Thriller,45.80M,,R
891,Executive Decision,Kurt Russell,Halle Berry,John Leguizamo,59683,Action,Adventure,Thriller,56.57M,,R
892,Cellular,Kim Basinger,Chris Evans,Jason Statham,103168,Action,Crime,Thriller,32.00M,,PG-13
893,Self/less,Ryan Reynolds,Natalie Martinez,Matthew Goode,101604,Action,Mystery,Sci-Fi,12.28M,,PG-13
894,Batman: The Movie,Adam West,Burt Ward,Lee Meriwether,34547,Action,Adventure,Comedy,,,PG
895,The International,Clive Owen,Naomi Watts,Armin Mueller-Stahl,97471,Action,Crime,Drama,25.45M,,R
896,The Grandmaster,Tony Leung Chiu-wai,Ziyi Zhang,Jin Zhang,35566,Action,Biography,Drama,6.59M,,PG-13
897,Hostage,Bruce Willis,Kevin Pollak,Serena Scott Thomas,112203,Action,Crime,Drama,34.64M,,R
898,Space Sweepers,Song Joong-ki,Kim Tae-ri,Jin Seon-kyu,27154,Action,Adventure,Drama,,,TV-MA
899,Premium Rush,Joseph Gordon-Levitt,Michael Shannon,Dania Ramirez,116301,Action,Crime,Thriller,20.28M,,PG-13
900,Flyboys,James Franco,Jean Reno,Jennifer Decker,43584,Action,Drama,History,13.08M,,PG-13
901,The Four Feathers,Heath Ledger,Wes Bentley,Kate Hudson,34862,Action,Adventure,Drama,18.31M,,PG-13
902,Heist,Gene Hackman,Rebecca Pidgeon,Danny DeVito,38132,Action,Crime,Drama,0.05M,,R
903,War,Hrithik Roshan,Tiger Shroff,Vaani Kapoor,29514,Action,Adventure,Thriller,,,Not Rated
904,Ladder 49,Joaquin Phoenix,John Travolta,Jacinda Barrett,58615,Action,Drama,Thriller,74.54M,,PG-13
905,Taxi 2,Samy Naceri,Frédéric Diefenthal,Emma Wiklund,57393,Action,Comedy,Crime,0.73M,,Not Rated
906,Spartan,Val Kilmer,Derek Luke,William H. Macy,32519,Action,Crime,Drama,4.43M,,R
907,Dhoom 2,Hrithik Roshan,Abhishek Bachchan,Aishwarya Rai Bachchan,28291,Action,Crime,Thriller,2.64M,,Not Rated
908,District 13: Ultimatum,Cyril Raffaelli,David Belle,Philippe Torreton,45496,Action,Crime,Thriller,0.04M,,R
909,Conquest 1453,Devrim Evin,Ibrahim Celikkol,Dilek Serbest,58607,Action,Drama,History,0.07M,,Not Rated
910,Valerian and the City of a Thousand Planets,Dane DeHaan,Cara Delevingne,Clive Owen,188915,Action,Adventure,Fantasy,41.19M,350,PG-13
911,Greenland,Gerard Butler,Morena Baccarin,Roger Dale Floyd,124030,Action,Thriller,,,673,PG-13
912,Escape Room,Taylor Russell,Logan Miller,Jay Ellis,131583,Action,Adventure,Horror,57.01M,829,PG-13
913,Lucy,Scarlett Johansson,Morgan Freeman,Choi Min-sik,512531,Action,Sci-Fi,Thriller,126.66M,950,R
914,Twister,Helen Hunt,Bill Paxton,Cary Elwes,203186,Action,Adventure,Thriller,241.72M,952,PG-13
915,The Day After Tomorrow,Dennis Quaid,Jake Gyllenhaal,Emmy Rossum,460410,Action,Adventure,Sci-Fi,186.74M,955,PG-13
916,Batman v Superman: Dawn of Justice,Ben Affleck,Henry Cavill,Amy Adams,712829,Action,Adventure,Sci-Fi,330.36M,975,PG-13
917,Last Action Hero,Arnold Schwarzenegger,F. Murray Abraham,Art Carney,157472,Action,Adventure,Comedy,50.02M,"1,069",PG-13
918,The Mummy Returns,Brendan Fraser,Rachel Weisz,John Hannah,335309,Action,Adventure,Fantasy,202.02M,"1,127",PG-13
919,The Expendables,Sylvester Stallone,Jason Statham,Jet Li,353454,Action,Adventure,Thriller,103.07M,"1,212",R
920,Godzilla,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston,423372,Action,Adventure,Sci-Fi,200.68M,"1,448",PG-13
921,Riddick,Vin Diesel,Karl Urban,Katee Sackhoff,172986,Action,Adventure,Sci-Fi,42.03M,"1,577",R
922,The Punisher,Thomas Jane,John Travolta,Samantha Mathis,164914,Action,Crime,Drama,33.81M,"1,730",R
923,Alien³,Sigourney Weaver,Charles S. Dutton,Charles Dance,307958,Action,Horror,Sci-Fi,55.47M,"1,734",R
924,Tomorrowland,George Clooney,Britt Robertson,Hugh Laurie,186464,Action,Adventure,Family,93.44M,"1,760",PG
925,Angel Has Fallen,Gerard Butler,Frederick Schmidt,Danny Huston,103326,Action,Thriller,,69.03M,"1,976",R
926,Army of Thieves,Matthias Schweighöfer,Nathalie Emmanuel,Ruby O. Fee,82362,Action,Comedy,Crime,,"2,132",TV-MA
927,Need for Speed,Aaron Paul,Dominic Cooper,Imogen Poots,174416,Action,Adventure,Crime,43.58M,"2,224",PG-13
928,Salt,Angelina Jolie,Liev Schreiber,Chiwetel Ejiofor,321782,Action,Thriller,,118.31M,"2,246",PG-13
929,The Three Musketeers,Charlie Sheen,Kiefer Sutherland,Chris O'Donnell,57003,Action,Adventure,Romance,53.90M,"2,417",PG
930,Pain & Gain,Mark Wahlberg,Dwayne Johnson,Anthony Mackie,222819,Action,Comedy,Crime,49.88M,"2,544",R
931,The Vault,Freddie Highmore,Astrid Bergès-Frisbey,Sam Riley,28176,Action,Adventure,Thriller,,"2,579",R
932,Death Race,Jason Statham,Joan Allen,Tyrese Gibson,213824,Action,Sci-Fi,Thriller,36.32M,"2,616",R
933,Now You See Me 2,Jesse Eisenberg,Mark Ruffalo,Woody Harrelson,303705,Action,Adventure,Comedy,65.08M,"2,624",PG-13
934,Hancock,Will Smith,Charlize Theron,Jason Bateman,495563,Action,Comedy,Drama,227.95M,"2,669",PG-13
935,Revenge,Matilda Anna Ingrid Lutz,Kevin Janssens,Vincent Colombe,45761,Action,Drama,Horror,0.10M,"2,726",R
936,Monsters vs. Aliens,Reese Witherspoon,Rainn Wilson,Stephen Colbert,169224,Animation,Action,Adventure,198.35M,"2,973",PG
937,Tango & Cash,Sylvester Stallone,Kurt Russell,Teri Hatcher,109642,Action,Comedy,Crime,63.41M,"3,014",R
938,Rat Race,Breckin Meyer,Amy Smart,Whoopi Goldberg,119501,Action,Adventure,Comedy,56.62M,"3,020",PG-13
939,The Sum of All Fears,Ben Affleck,Morgan Freeman,Ian Mongrain,120454,Action,Drama,Thriller,118.91M,"3,025",PG-13
940,Savages,Aaron Taylor-Johnson,Taylor Kitsch,Blake Lively,132353,Action,Crime,Drama,47.38M,"3,074",R
941,Predators,Adrien Brody,Laurence Fishburne,Topher Grace,237152,Action,Adventure,Fantasy,52.00M,"3,091",R
942,Colombiana,Zoe Saldana,Michael Vartan,Callum Blue,104177,Action,Drama,Thriller,36.67M,"3,123",PG-13
943,The Lone Ranger,Johnny Depp,Armie Hammer,William Fichtner,239382,Action,Adventure,Western,89.30M,"3,266",PG-13
944,The World Is Not Enough,Pierce Brosnan,Sophie Marceau,Robert Carlyle,205029,Action,Adventure,Thriller,126.94M,"3,319",PG-13
945,Act of Valor,Alex Veadov,Roselyn Sanchez,Nestor Serrano,70394,Action,Adventure,Thriller,70.01M,"3,768",R
946,Darkman,Liam Neeson,Frances McDormand,Colin Friels,67230,Action,Sci-Fi,Thriller,33.88M,"3,790",R
947,Faster,Dwayne Johnson,Billy Bob Thornton,Maggie Grace,109919,Action,Crime,Drama,23.24M,"3,958",R
948,The Purge: Anarchy,Frank Grillo,Carmen Ejogo,Zach Gilford,156849,Action,Horror,Sci-Fi,71.96M,"3,967",R
949,Behind Enemy Lines,Gene Hackman,Owen Wilson,Gabriel Macht,108993,Action,Drama,Thriller,59.07M,"3,997",PG-13
950,DragonHeart,Dennis Quaid,Sean Connery,Dina Meyer,99630,Action,Adventure,Fantasy,51.37M,"4,129",PG-13
951,Kickboxer,Jean-Claude Van Damme,Dennis Alexio,Dennis Chan,58049,Action,Sport,Thriller,14.70M,"4,189",R
952,The Angry Birds Movie 2,Jason Sudeikis,Josh Gad,Leslie Jones,32165,Animation,Action,Adventure,41.66M,"4,215",PG
953,The Taking of Pelham 123,Denzel Washington,John Travolta,Luis Guzmán,202395,Action,Crime,Thriller,65.45M,"4,263",R
954,Star Trek: Nemesis,Patrick Stewart,Jonathan Frakes,Brent Spiner,81740,Action,Adventure,Sci-Fi,43.25M,"4,398",PG-13
955,Killer Elite,Jason Statham,Clive Owen,Robert De Niro,133017,Action,Crime,Thriller,25.12M,"4,460",R
956,The Jackal,Bruce Willis,Richard Gere,Sidney Poitier,120639,Action,Crime,Drama,54.93M,"4,590",R
957,Let's Be Cops,Jake Johnson,Damon Wayans Jr.,Rob Riggle,137210,Action,Comedy,Crime,82.39M,"4,642",R
958,Star Trek: Insurrection,Patrick Stewart,Jonathan Frakes,Brent Spiner,77430,Action,Adventure,Sci-Fi,70.12M,"4,658",PG
959,Snitch,Dwayne Johnson,Susan Sarandon,Jon Bernthal,90434,Action,Drama,Thriller,42.93M,"4,689",PG-13
960,The Siege,Denzel Washington,Bruce Willis,Annette Bening,75412,Action,Thriller,,40.98M,"4,719",R
961,Lock Up,Sylvester Stallone,Donald Sutherland,John Amos,44747,Action,Crime,Drama,22.10M,"4,754",R
962,Blood Father,Mel Gibson,Erin Moriarty,Diego Luna,66037,Action,Crime,Drama,,"4,944",R
963,Daybreakers,Ethan Hawke,Willem Dafoe,Sam Neill,131727,Action,Horror,Sci-Fi,30.10M,,R
964,Kill List,Neil Maskell,MyAnna Buring,Harry Simpson,42843,Action,Crime,Horror,0.03M,,Not Rated
965,Live by Night,Ben Affleck,Elle Fanning,Brendan Gleeson,58598,Action,Crime,Drama,10.38M,,R
966,Shaft,Samuel L. Jackson,Jessie T. Usher,Richard Roundtree,56099,Action,Comedy,Crime,21.36M,,R
967,Basic,John Travolta,Samuel L. Jackson,Connie Nielsen,64539,Action,Crime,Drama,26.54M,,R
968,The Rover,Guy Pearce,Robert Pattinson,Scoot McNairy,49819,Action,Crime,Drama,1.11M,,R
969,Chaos,Jason Statham,Ryan Phillippe,Wesley Snipes,56208,Action,Crime,Drama,,,R
970,Contraband,Mark Wahlberg,Giovanni Ribisi,Kate Beckinsale,124679,Action,Adventure,Crime,66.53M,,R
971,Batman: The Killing Joke,Kevin Conroy,Mark Hamill,Tara Strong,59273,Animation,Action,Crime,3.78M,,R
972,The Omega Man,Charlton Heston,Anthony Zerbe,Rosalind Cash,32817,Action,Drama,Sci-Fi,8.72M,,PG
973,Here Comes the Boom,Kevin James,Salma Hayek,Henry Winkler,93492,Action,Comedy,Sport,45.29M,,PG
974,From Paris with Love,John Travolta,Jonathan Rhys Meyers,Kasia Smutniak,119415,Action,Crime,Thriller,23.98M,,R
975,Final Fantasy: The Spirits Within,Alec Baldwin,Steve Buscemi,Ming-Na Wen,83057,Animation,Action,Adventure,32.13M,,PG-13
976,Black Death,Eddie Redmayne,Sean Bean,Carice van Houten,49714,Action,Drama,History,0.02M,,R
977,Just Cause,Sean Connery,Laurence Fishburne,Kate Capshaw,28280,Action,Crime,Drama,36.85M,,R
978,How I Live Now,Saoirse Ronan,Tom Holland,George MacKay,31234,Action,Adventure,Drama,0.06M,,R
979,The Prophecy,Christopher Walken,Elias Koteas,Virginia Madsen,32187,Action,Crime,Drama,16.12M,,R
980,Last Man Standing,Bruce Willis,Bruce Dern,William Sanderson,59561,Action,Crime,Drama,17.60M,,R
981,Dead Man Down,Colin Farrell,Noomi Rapace,Dominic Cooper,69137,Action,Crime,Drama,10.88M,,R
982,Black and Blue,Naomie Harris,Tyrese Gibson,Frank Grillo,25248,Action,Thriller,,22.06M,,R
983,Blood Work,Clint Eastwood,Jeff Daniels,Anjelica Huston,46382,Action,Crime,Drama,26.20M,,R
984,Son of a Gun,Ewan McGregor,Brenton Thwaites,Alicia Vikander,28859,Action,Crime,Drama,0.00M,,R
985,Night Watch,Konstantin Khabenskiy,Vladimir Menshov,Mariya Poroshina,54690,Action,Fantasy,Horror,1.49M,,R
986,Ned Kelly,Heath Ledger,Orlando Bloom,Geoffrey Rush,27583,Action,Adventure,Biography,0.07M,,R
987,Resident Evil: Degeneration,Paul Mercier,Alyson Court,Laura Bailey,32188,Animation,Action,Horror,,,R
988,Day Watch,Konstantin Khabenskiy,Mariya Poroshina,Vladimir Menshov,34912,Action,Fantasy,Horror,0.45M,,R
989,Redirected,Vinnie Jones,Scot Williams,Gil Darnell,34327,Action,Comedy,Crime,,,Not Rated
990,Operation Fortune: Ruse de Guerre,Jason Statham,Aubrey Plaza,Cary Elwes,57591,Action,Comedy,Thriller,,87,R
991,Black Adam,Dwayne Johnson,Aldis Hodge,Pierce Brosnan,247480,Action,Adventure,Fantasy,168.15M,248,PG-13
992,Uncharted,Tom Holland,Mark Wahlberg,Antonio Banderas,228861,Action,Adventure,,148.65M,322,PG-13
993,Eternals,Gemma Chan,Richard Madden,Angelina Jolie,360127,Action,Adventure,Fantasy,164.87M,328,PG-13
994,The King's Man,Ralph Fiennes,Gemma Arterton,Rhys Ifans,158374,Action,Adventure,Thriller,37.18M,538,R
995,Dune,Kyle MacLachlan,Virginia Madsen,Francesca Annis,165976,Action,Adventure,Sci-Fi,30.93M,600,PG-13
996,Terminator Genisys,Arnold Schwarzenegger,Jason Clarke,Emilia Clarke,284711,Action,Adventure,Sci-Fi,89.76M,659,PG-13
997,Spider-Man 3,Tobey Maguire,Kirsten Dunst,Topher Grace,608887,Action,Adventure,Sci-Fi,336.53M,694,PG-13
998,Godzilla vs. Kong,Alexander Skarsgård,Millie Bobby Brown,Rebecca Hall,220307,Action,Sci-Fi,Thriller,100.92M,750,PG-13
999,Sky High,Kurt Russell,Kelly Preston,Michael Angarano,90905,Action,Comedy,Family,63.95M,767,PG
1000,Red Notice,Dwayne Johnson,Ryan Reynolds,Gal Gadot,291607,Action,Comedy,Thriller,,814,PG-13
1001,Knight and Day,Tom Cruise,Cameron Diaz,Peter Sarsgaard,202736,Action,Adventure,Comedy,76.42M,908,PG-13
1002,Ocean's Eight,Sandra Bullock,Cate Blanchett,Anne Hathaway,229648,Action,Comedy,Crime,140.22M,"1,122",PG-13
1003,Red Dawn,Patrick Swayze,C. Thomas Howell,Lea Thompson,60202,Action,Drama,Thriller,38.38M,"1,256",PG-13
1004,King Arthur,Clive Owen,Stephen Dillane,Keira Knightley,171867,Action,Adventure,Drama,51.88M,"1,349",PG-13
1005,The Last Stand,Arnold Schwarzenegger,Forest Whitaker,Johnny Knoxville,142483,Action,Thriller,Western,12.05M,"1,389",R
1006,The Shallows,Blake Lively,Óscar Jaenada,Angelo Josue Lozano Corzo,137956,Action,Drama,Horror,55.12M,"1,427",PG-13
1007,Run Hide Fight,Isabel May,Radha Mitchell,Thomas Jane,25388,Action,Crime,Drama,,"1,504",TV-MA
1008,Tomb Raider,Alicia Vikander,Dominic West,Walton Goggins,219840,Action,Adventure,Fantasy,58.25M,"1,522",PG-13
1009,Polar,Mads Mikkelsen,Vanessa Hudgens,Katheryn Winnick,94333,Action,Thriller,,,"1,742",TV-MA
1010,Ghost in the Shell,Scarlett Johansson,Pilou Asbæk,Takeshi Kitano,220881,Action,Crime,Drama,40.56M,"1,852",PG-13
1011,Terminator 3: Rise of the Machines,Arnold Schwarzenegger,Nick Stahl,Kristanna Loken,408044,Action,Sci-Fi,,150.37M,"1,864",R
1012,Waterworld,Kevin Costner,Jeanne Tripplehorn,Dennis Hopper,202451,Action,Adventure,Sci-Fi,88.25M,"1,895",PG-13
1013,The Bodyguard,Kevin Costner,Whitney Houston,Gary Kemp,141342,Action,Drama,Music,121.95M,"2,039",R
1014,Central Intelligence,Dwayne Johnson,Kevin Hart,Danielle Nicolet,200662,Action,Comedy,Crime,127.44M,"2,230",PG-13
1015,White House Down,Channing Tatum,Jamie Foxx,Maggie Gyllenhaal,228675,Action,Drama,Thriller,73.10M,"2,447",PG-13
1016,Every Which Way But Loose,Clint Eastwood,Sondra Locke,Geoffrey Lewis,28796,Action,Comedy,,106.00M,"2,648",PG
1017,Spectral,James Badge Dale,Emily Mortimer,Bruce Greenwood,61810,Action,Adventure,Sci-Fi,,"2,660",PG-13
1018,Maze Runner: The Scorch Trials,Dylan O'Brien,Kaya Scodelario,Thomas Brodie-Sangster,261288,Action,Adventure,Sci-Fi,81.70M,"2,731",PG-13
1019,Miss Congeniality,Sandra Bullock,Michael Caine,Benjamin Bratt,219119,Action,Comedy,Crime,106.81M,"2,809",PG-13
1020,A View to a Kill,Roger Moore,Christopher Walken,Tanya Roberts,101214,Action,Adventure,Thriller,50.33M,"3,006",PG
1021,Bright,Will Smith,Joel Edgerton,Noomi Rapace,195140,Action,Fantasy,Thriller,,"3,097",TV-MA
1022,Unlocked,Noomi Rapace,Orlando Bloom,Toni Collette,37073,Action,Thriller,,,"3,149",R
1023,The Angry Birds Movie,Jason Sudeikis,Josh Gad,Danny McBride,97816,Animation,Action,Adventure,107.51M,"3,191",PG
1024,Predator 2,Danny Glover,Gary Busey,Kevin Peter Hall,174819,Action,Horror,Sci-Fi,30.67M,"3,254",R
1025,Criminal,Kevin Costner,Ryan Reynolds,Gal Gadot,68234,Action,Sci-Fi,Thriller,14.27M,"3,410",R
1026,My Spy,Dave Bautista,Chloe Coleman,Parisa Fitz-Henley,32480,Action,Comedy,,,"3,428",PG-13
1027,Jack the Giant Slayer,Nicholas Hoult,Stanley Tucci,Ewan McGregor,142746,Action,Adventure,Fantasy,65.19M,"3,516",PG-13
1028,The Collector,Josh Stewart,Andrea Roth,Juan Fernández,68560,Action,Horror,Thriller,7.71M,"3,517",R
1029,Transporter 2,Jason Statham,Amber Valletta,Kate Nauta,208538,Action,Crime,Thriller,43.10M,"3,565",PG-13
1030,Scouts Guide to the Zombie Apocalypse,Tye Sheridan,Logan Miller,Joey Morgan,52578,Action,Comedy,Horror,3.64M,"3,623",R
1031,Guns Akimbo,Daniel Radcliffe,Samara Weaving,Ned Dennehy,64864,Action,Comedy,Crime,,"3,711",R
1032,Once Upon a Time in Mexico,Antonio Banderas,Salma Hayek,Johnny Depp,166012,Action,Crime,Thriller,56.36M,"3,791",R
1033,Beowulf,Ray Winstone,Crispin Glover,Angelina Jolie,170915,Animation,Action,Adventure,82.16M,"3,806",PG-13
1034,Sand Castle,Nicholas Hoult,Logan Marshall-Green,Henry Cavill,25320,Action,Drama,War,,"3,852",TV-MA
1035,Death Wish,Bruce Willis,Vincent D'Onofrio,Elisabeth Shue,74130,Action,Crime,Drama,34.02M,"3,971",R
1036,The Take,Idris Elba,Richard Madden,Charlotte Le Bon,47056,Action,Crime,Drama,0.04M,"4,036",R
1037,The Commuter,Liam Neeson,Vera Farmiga,Patrick Wilson,119751,Action,Mystery,Thriller,36.34M,"4,056",PG-13
1038,The Dead Pool,Clint Eastwood,Liam Neeson,Patricia Clarkson,47388,Action,Crime,Mystery,37.90M,"4,074",R
1039,#Alive,Yoo Ah-in,Park Shin-Hye,Jeon Bae-soo,43597,Action,Drama,Horror,,"4,123",TV-MA
1040,The Black Cauldron,Grant Bardsley,Freddie Jones,Susan Sheridan,38426,Animation,Action,Adventure,21.29M,"4,192",PG
1041,Surrogates,Bruce Willis,Radha Mitchell,Ving Rhames,177767,Action,Sci-Fi,Thriller,38.58M,"4,279",PG-13
1042,Revolver,Jason Statham,Ray Liotta,André 3000,99168,Action,Crime,Drama,0.08M,"4,349",R
1043,Ninja Assassin,Rain,Rick Yune,Naomie Harris,73894,Action,Thriller,,38.11M,"4,453",R
1044,Osmosis Jones,Laurence Fishburne,Chris Rock,David Hyde Pierce,37415,Animation,Action,Adventure,13.60M,"4,458",PG
1045,The American,George Clooney,Paolo Bonacelli,Violante Placido,99960,Action,Crime,Drama,35.61M,"4,490",R
1046,Triple 9,Casey Affleck,Chiwetel Ejiofor,Anthony Mackie,74495,Action,Crime,Thriller,12.63M,"4,855",R
1047,Paycheck,Ben Affleck,Aaron Eckhart,Uma Thurman,110934,Action,Mystery,Sci-Fi,53.79M,"4,946",PG-13
1048,This Means War,Reese Witherspoon,Chris Pine,Tom Hardy,190507,Action,Comedy,Romance,54.76M,,PG-13
1049,Entrapment,Sean Connery,Catherine Zeta-Jones,Ving Rhames,120322,Action,Crime,Romance,87.70M,,PG-13
1050,Underworld: Awakening,Kate Beckinsale,Michael Ealy,India Eisley,157873,Action,Fantasy,Horror,62.32M,,R
1051,Blue Streak,Martin Lawrence,Luke Wilson,Peter Greene,86055,Action,Comedy,Crime,68.52M,,PG-13
1052,Johnny English Reborn,Rowan Atkinson,Rosamund Pike,Dominic West,135540,Action,Adventure,Comedy,8.31M,,PG
1053,Centurion,Michael Fassbender,Dominic West,Olga Kurylenko,84502,Action,Drama,History,0.12M,,R
1054,Mr. Right,Anna Kendrick,Sam Rockwell,Tim Roth,58149,Action,Comedy,Romance,0.03M,,R
1055,Free Fire,Sharlto Copley,Brie Larson,Armie Hammer,48310,Action,Comedy,Crime,1.80M,,R
1056,Repo Men,Jude Law,Forest Whitaker,Alice Braga,108908,Action,Sci-Fi,Thriller,13.79M,,R
1057,Risen,Joseph Fiennes,Tom Felton,Peter Firth,29577,Action,Drama,History,36.87M,,PG-13
1058,The November Man,Pierce Brosnan,Luke Bracey,Olga Kurylenko,69252,Action,Thriller,,24.98M,,R
1059,Assassins,Sylvester Stallone,Antonio Banderas,Julianne Moore,85858,Action,Crime,Thriller,30.31M,,R
1060,Escape from the Planet of the Apes,Roddy McDowall,Kim Hunter,Bradford Dillman,37004,Action,Sci-Fi,,12.30M,,G
1061,Nick of Time,Johnny Depp,Christopher Walken,Courtney Chase,44017,Action,Crime,Drama,8.17M,,R
1062,Assault on Precinct 13,Ethan Hawke,Laurence Fishburne,Gabriel Byrne,80451,Action,Crime,Drama,19.98M,,R
1063,7500,Joseph Gordon-Levitt,Omid Memar,Aylin Tezel,30528,Action,Drama,Thriller,,,R
1064,Proof of Life,Meg Ryan,Russell Crowe,David Morse,58027,Action,Drama,Thriller,32.60M,,R
1065,Formula 51,Samuel L. Jackson,Robert Carlyle,Emily Mortimer,50188,Action,Comedy,Crime,5.20M,,R
1066,ARQ,Robbie Amell,Rachael Taylor,Shaun Benson,40524,Action,Sci-Fi,Thriller,,,TV-MA
1067,Charlie Countryman,Shia LaBeouf,Evan Rachel Wood,Mads Mikkelsen,29160,Action,Comedy,Drama,0.01M,,R
1068,Toofaan,Farhan Akhtar,Mrunal Thakur,Paresh Rawal,51783,Action,Drama,Sport,,,UA
1069,Fast X,Vin Diesel,Michelle Rodriguez,Jason Statham,43515,Action,Adventure,Crime,,5,PG-13
1070,Thor: Love and Thunder,Chris Hemsworth,Natalie Portman,Christian Bale,365180,Action,Adventure,Comedy,343.26M,121,PG-13
1071,Indiana Jones and the Kingdom of the Crystal Skull,Harrison Ford,Cate Blanchett,Shia LaBeouf,466070,Action,Adventure,,317.10M,288,PG-13
1072,Kindergarten Cop,Arnold Schwarzenegger,Penelope Ann Miller,Pamela Reed,155979,Action,Comedy,Crime,91.46M,397,PG-13
1073,Mad Max Beyond Thunderdome,Mel Gibson,Tina Turner,Bruce Spence,141733,Action,Adventure,Sci-Fi,36.20M,462,PG-13
1074,Terminator: Dark Fate,Linda Hamilton,Arnold Schwarzenegger,Mackenzie Davis,184758,Action,Adventure,Sci-Fi,62.25M,661,R
1075,Pearl Harbor,Ben Affleck,Kate Beckinsale,Josh Hartnett,341374,Action,Drama,History,198.54M,806,PG-13
1076,Transformers: Dark of the Moon,Shia LaBeouf,Rosie Huntington-Whiteley,Tyrese Gibson,418873,Action,Adventure,Sci-Fi,352.39M,911,PG-13
1077,The Legend of Tarzan,Alexander Skarsgård,Rory J Saper,Christian Stevens,181503,Action,Adventure,Drama,126.64M,970,PG-13
1078,Men in Black II,Tommy Lee Jones,Will Smith,Rip Torn,387372,Action,Adventure,Comedy,190.42M,"1,020",PG-13
1079,The Karate Kid,Jackie Chan,Jaden Smith,Taraji P. Henson,193720,Action,Drama,Family,176.59M,"1,546",PG
1080,300: Rise of an Empire,Sullivan Stapleton,Eva Green,Lena Headey,308083,Action,Drama,,106.58M,"1,639",R
1081,Deep Impact,Robert Duvall,Téa Leoni,Elijah Wood,183435,Action,Drama,Sci-Fi,140.46M,"1,657",PG-13
1082,Austin Powers in Goldmember,Mike Myers,Beyoncé,Seth Green,216093,Action,Adventure,Comedy,213.31M,"1,780",PG-13
