,MovieName,Star1,Star2,Star3,Votes,Genre1,Genre2,Genre3,GrossCollection,Popularity,Certification
576,X-Men: Apocalypse,James McAvoy,Michael Fassbender,Jennifer Lawrence,446304,Action,Adventure,Sci-Fi,155.44M,"1,141",PG-13
577,Con Air,Nicolas Cage,John Cusack,John Malkovich,308378,Action,Crime,Thriller,101.12M,"1,205",R
578,Pacific Rim,Idris Elba,Charlie Hunnam,Rinko Kikuchi,513687,Action,Adventure,Sci-Fi,101.80M,"1,214",PG-13
579,Atlantis: The Lost Empire,Michael J. Fox,Jim Varney,Corey Burton,126490,Animation,Action,Adventure,84.05M,"1,501",PG
580,Romancing the Stone,Michael Douglas,Kathleen Turner,Danny DeVito,98760,Action,Adventure,Comedy,76.57M,"1,583",PG
581,Robin Hood: Prince of Thieves,Kevin Costner,Morgan Freeman,Mary Elizabeth Mastrantonio,200744,Action,Adventure,Drama,165.50M,"1,590",PG-13
582,National Treasure,Nicolas Cage,Diane Kruger,Justin Bartha,343253,Action,Adventure,Mystery,173.01M,"1,606",PG
583,The Hitman's Bodyguard,Ryan Reynolds,Samuel L. Jackson,Gary Oldman,238461,Action,Comedy,Crime,75.47M,"1,966",R
584,Dragged Across Concrete,Mel Gibson,Vince Vaughn,Tory Kittles,51121,Action,Crime,Drama,,"2,002",R
585,Love and Monsters,Dylan O'Brien,Jessica Henwick,Michael Rooker,134608,Action,Adventure,Comedy,1.07M,"2,020",PG-13
586,Clear and Present Danger,Harrison Ford,Willem Dafoe,Anne Archer,103671,Action,Crime,Drama,122.19M,"2,265",PG-13
587,The World's End,Simon Pegg,Nick Frost,Martin Freeman,289285,Action,Comedy,Sci-Fi,26.00M,"2,270",R
588,28 Weeks Later,Jeremy Renner,Rose Byrne,Robert Carlyle,283832,Action,Adventure,Horror,28.64M,"2,291",R
589,In the Heart of the Sea,Chris Hemsworth,Cillian Murphy,Brendan Gleeson,143335,Action,Adventure,Biography,25.02M,"2,334",PG-13
590,Pineapple Express,Seth Rogen,James Franco,Gary Cole,348021,Action,Comedy,Crime,87.34M,"2,424",R
591,Outlaw King,Chris Pine,Stephen Dillane,Rebecca Robin,76250,Action,Biography,Drama,,"2,537",R
592,Clash of the Titans,Laurence Olivier,Harry Hamlin,Claire Bloom,46026,Action,Adventure,Family,41.09M,"2,681",PG
593,Thunderball,Sean Connery,Claudine Auger,Adolfo Celi,122565,Action,Adventure,Thriller,63.60M,"3,040",PG
594,Crank,Jason Statham,Amy Smart,Carlos Sanz,255872,Action,Crime,Thriller,27.83M,"3,101",R
595,Non-Stop,Liam Neeson,Julianne Moore,Scoot McNairy,269748,Action,Mystery,Thriller,92.17M,"3,492",PG-13
596,The Edge,Anthony Hopkins,Alec Baldwin,Elle Macpherson,76255,Action,Adventure,Drama,27.78M,"3,525",R
597,48 Hrs.,Nick Nolte,Eddie Murphy,Annette O'Toole,81544,Action,Comedy,Crime,78.87M,"3,834",R
598,The Last Castle,Robert Redford,James Gandolfini,Mark Ruffalo,82955,Action,Drama,Thriller,18.21M,"4,154",R
599,Death Wish,Charles Bronson,Hope Lange,Vincent Gardenia,41346,Action,Crime,Drama,22.00M,"4,205",R
600,The Night Comes for Us,Iko Uwais,Joe Taslim,Julie Estelle,27763,Action,Crime,Thriller,,"4,479",TV-MA
601,Repo Man,Harry Dean Stanton,Emilio Estevez,Tracey Walter,39094,Action,Comedy,Crime,3.57M,,R
